line_id	donor	clone	replicate	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins	rna_concentration	ng_ul_mean	macrophage_harvest	rna_extraction	rna_submit	library_pool	chemistry	rna_auto	macrophage_diff_days	macrophage_diff_bins	harvest_stimulation_days	max_purity_filtered	mean_purity_filtered	purity_bins
xugn_1	xugn	1	1	2015-01-14	2015-05-21	23	frozen	E8	2015-06-08	27	2015-06-11	2015-07-22	2015-07-22	2015-07-21	8	2015-07-24	Success	0.976953907815631	0.980818780417979	HPSI0314i-xugn_1	1	male	18	20	100-200	126.62	2015-07-15	2015-08-18	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	44	40	7	0.980818780417979	0.976953907815631	high
yemz_1	yemz	1	1	2015-01-14	2015-03-10	25	frozen	E8	2015-03-20	27	2015-03-23	2015-04-24	NA	2015-04-23	9	2015-05-07	Success	0.995252008765522	0.997443389335281	HPSI1013i-yemz_1	1	male	10	20	0-100	88.2075	2015-04-17	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	35	30	7	0.997443389335281	0.995252008765522	high
zaui_3	zaui	3	1	2015-01-14	2015-09-15	33	frozen	E8	2015-10-08	38	2015-10-11	2015-11-18	2015-11-18	2015-11-27	9	2015-11-30	Success	0.892098004218725	0.899399643030991	HPSI0513i-zaui_3	0	female	23	30	100-200	144.965	2015-11-11	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	41	40	7	0.899399643030991	0.892098004218725	low
diku_1	diku	1	1	2015-06-11	2015-09-15	33	frozen	E8	2015-10-12	38	2015-10-15	2015-11-13	2015-11-13	2015-11-17	6	2015-11-11	Success	0.9917225950783	0.993959731543624	HPSI0913i-diku_1	1	female	27	30	200+	293.9625	2015-11-06	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	32	30	7	0.993959731543624	0.9917225950783	high
eipl_1	eipl	1	1	2015-06-11	2015-06-11	34	frozen	E8	2015-06-27	38	2015-06-30	2015-08-04	2015-08-04	2015-07-30	7	2015-08-08	Success	0.948499515972895	0.961858664085189	HPSI0114i-eipl_1	1	female	16	30	100-200	134.5175	2015-07-29	2015-08-14	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	38	30	6	0.961858664085189	0.948499515972895	low
fikt_3	fikt	3	1	2015-09-02	2015-09-14	37	frozen	E8	2015-09-30	41	2015-10-03	2015-11-05	2015-11-05	2015-11-03	5	2015-10-28	Success	0.98604371736217	0.993622625814502	HPSI0114i-fikt_3	1	female	16	40	100-200	167.5425	2015-10-28	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	36	30	8	0.993622625814502	0.98604371736217	high
hayt_1	hayt	1	1	2015-06-11	2015-08-07	42	frozen	E8	2015-09-09	48	2015-09-12	2015-10-09	2015-10-09	2015-10-16	6	2015-10-14	Success	0.950323688730347	0.974237019421324	HPSI1113i-hayt_1	1	male	33	40	100-200	174.68	2015-10-02	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	30	30	7	0.974237019421324	0.950323688730347	low
heja_1	heja	1	1	2015-06-11	2015-06-11	32	frozen	E8	2015-06-26	36	2015-06-29	2015-08-12	2015-08-12	2015-08-13	9	2015-08-12	Success	0.937208315655494	0.94548154433602	HPSI0214i-heja_1	1	male	15	30	0-100	76.6925	2015-08-05	2015-08-14	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	47	40	7	0.94548154433602	0.937208315655494	low
oevr_3	oevr	3	1	2015-06-11	2015-08-07	35	frozen	E8	2015-08-27	39	2015-08-30	2015-10-14	2015-10-09	2015-10-16	8	2015-10-12	Success	0.948616125150421	0.955234657039711	HPSI0114i-oevr_3	1	male	20	30	0-100	63.3275	2015-10-07	2015-11-17	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	48	40	7	0.955234657039711	0.948616125150421	low
pelm_3	pelm	3	1	2015-06-11	2015-06-11	30	frozen	E8	2015-06-30	34	2015-07-03	2015-08-12	2015-08-12	2015-08-13	8	2015-08-12	Success	0.959846519671422	0.961738002594034	HPSI0214i-pelm_3	1	female	19	30	0-100	99.44	2015-08-05	2015-08-26	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	43	40	7	0.961738002594034	0.959846519671422	low
sojd_3	sojd	3	1	2015-06-11	2015-08-20	23	frozen	E8	2015-09-08	27	2015-09-11	2015-10-14	2015-10-14	2015-10-20	7	2015-10-19	Success	0.892613377824966	0.921886849689064	HPSI0314i-sojd_3	1	female	19	20	100-200	120.7125	2015-10-07	2015-11-17	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	36	30	7	0.921886849689064	0.892613377824966	low
coyi_3	coyi	3	1	2015-09-02	2015-09-09	44	frozen	E8	2015-09-27	48	2015-09-30	2015-11-05	2015-11-05	2015-11-03	7	2015-11-06	Success	0.983437698520737	0.984481350394773	HPSI0913i-coyi_3	0	female	18	40	0-100	87.0125	2015-10-28	2015-11-11	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	39	30	8	0.984481350394773	0.983437698520737	high
eiwy_1	eiwy	1	1	2015-09-02	2015-09-15	17	frozen	E8	2015-10-20	23	2015-10-23	2015-12-02	2015-12-02	2015-11-27	7	2015-12-04	Success	0.979667116509222	0.98502024291498	HPSI0214i-eiwy_1	1	female	35	20	100-200	193.545	2015-11-25	2015-12-03	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	43	40	7	0.98502024291498	0.979667116509222	high
fafq_1	fafq	1	1	2015-09-02	2015-09-02	27	frozen	E8	2015-09-13	31	2015-09-16	2015-10-14	2015-10-14	2015-10-16	5	2015-10-14	Success	0.97881679389313	0.999045801526718	HPSI0314i-fafq_1	1	male	11	30	100-200	177.1425	2015-10-07	2015-11-06	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	31	30	7	0.999045801526718	0.97881679389313	high
fpdj_3	fpdj	3	1	2013-10-08	2014-07-22	39	frozen	KSR	2014-08-11	43	2014-08-15	2014-09-18	NA	2014-09-19	6	2014-09-23	Success	0.986781984334204	0.992493472584856	HPSI0813i-fpdj_3	0	female	20	40	100-200	123.535	2014-09-12	2014-09-22	2014-11-18	3226_RNA-2_191114	V4	FALSE	38	30	6	0.992493472584856	0.986781984334204	high
fpdj_3	fpdj	3	2	2013-10-08	2014-10-03	39	frozen	KSR	2014-10-25	42	2014-10-29	2014-11-26	NA	2014-12-04	8	2014-12-19	Success	0.986522295321637	0.992598684210526	HPSI0813i-fpdj_3	0	female	22	40	0-100	94.4575	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	32	30	7	0.992598684210526	0.986522295321637	high
guss_1	guss	1	1	2015-09-02	2015-09-15	29	frozen	E8	2015-10-13	33	2015-10-16	2015-11-18	2015-11-18	2015-11-17	5	2015-11-25	Success	0.993830378866875	0.995698644421272	HPSI0813i-guss_1	0	female	28	30	200+	222.8325	2015-11-11	2015-12-03	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	36	30	7	0.995698644421272	0.993830378866875	high
hehd_2	hehd	2	1	2015-09-02	2015-09-02	36	frozen	E8	2015-09-27	41	2015-09-30	2015-11-05	2015-11-05	2015-11-17	8	2015-11-11	Success	0.966033390903857	0.971358664363846	HPSI1213i-hehd_2	1	female	25	40	0-100	98.135	2015-10-28	2015-11-06	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	39	30	8	0.971358664363846	0.966033390903857	low
nukw_1	nukw	1	1	2015-09-02	2015-09-06	43	frozen	E8	2015-09-20	47	2015-09-23	2015-11-05	2015-10-27	2015-11-03	7	2015-11-05	Success	0.980911882825419	0.991353649893692	HPSI0613i-nukw_1	0	female	14	40	100-200	147.7825	2015-10-28	2015-11-17	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	46	40	8	0.991353649893692	0.980911882825419	high
qaqx_1	qaqx	1	1	2015-09-02	2015-09-02	16	frozen	E8	2015-09-28	20	2015-10-01	2015-11-18	2015-11-18	2015-11-27	11	2015-11-30	Success	0.97970166963302	0.987287058225273	HPSI0314i-qaqx_1	1	female	26	20	200+	488.8275	2015-11-11	2015-12-07	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	51	50	7	0.987287058225273	0.97970166963302	high
qolg_3	qolg	3	1	2014-10-24	2015-09-14	40	frozen	E8	2015-10-07	44	2015-10-10	2015-11-05	2015-11-13	2015-11-17	6	2015-11-11	Success	0.988200125865324	0.988672120830711	HPSI1113i-qolg_3	1	male	23	40	100-200	161.1725	2015-10-30	2015-11-06	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	29	20	6	0.988672120830711	0.988200125865324	high
